dataset_id,snapshot_as_of_date,company,ticker,research_need,category,priority,current_status,current_evidence,source_strategy,why_it_matters,validation_output,source_quality,retrieved_at
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,route_fare_time_series,yield_pricing,high,missing_free_pit_series,reported_yield_plus_mix_available,Dated OTA/Ctrip flight-fare snapshots or issuer regional yield disclosure,Revenue/yield bridge remains company-period only,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,advance_booking_and_fare_class,yield_pricing,medium,missing,reported_yield_plus_mix_available,"Dated booking-window, fare-class or load-factor observations",Demand volume may not translate into realized pricing,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,ancillary_revenue,yield_pricing,medium,not_separately_disclosed,reported_yield_plus_mix_available,Issuer note extraction plus ancillary KPI disclosures,"RASK proxy may mix ticket, cargo and ancillary revenue",dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,domestic_international_yield_split,yield_pricing,high,company_period_yield_only_regional_split_pending,reported_yield_plus_mix_available,Issuer regional traffic/yield tables; route-level fare snapshots,International mix can distort group yield comparison,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,realized_fuel_surcharge_recovery,fuel_pass_through,high,schedule_only,no_explicit_fuel_hedge_anchor_found_in_scan,Join effective surcharge policy to eligible passenger traffic and reported fuel cost,Published surcharge is not realized fuel-cost recovery,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,hedge_notional_and_realized_pnl,fuel_hedging,high,partial_report_scan,no_explicit_fuel_hedge_anchor_found_in_scan,"Primary interim/annual risk-note extraction; preserve notional, fair value and realized P&L separately",Mechanical fuel sensitivity may overstate or understate earnings impact,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,nonfuel_unit_cost,fuel_pass_through,medium,partial_primary_report_coverage,no_explicit_fuel_hedge_anchor_found_in_scan,"Issuer ATK/nonfuel cost rows, labor, lease, maintenance and airport costs",CASK change cannot be attributed to fuel alone,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,Air China,601111.SH,fuel_contract_and_fx_lag,fuel_pass_through,medium,missing,no_explicit_fuel_hedge_anchor_found_in_scan,"Contract terms, purchase timing and route/currency exposure from filings",Spot fuel benchmark may not match accounting fuel expense,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,China Southern Airlines,600029.SH,route_fare_time_series,yield_pricing,high,missing_free_pit_series,reported_yield_plus_mix_available,Dated OTA/Ctrip flight-fare snapshots or issuer regional yield disclosure,Revenue/yield bridge remains company-period only,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
airline_yield_fuel_research_queue,2026-08-05,China Southern Airlines,600029.SH,advance_booking_and_fare_class,yield_pricing,medium,missing,reported_yield_plus_mix_available,"Dated booking-window, fare-class or load-factor observations",Demand volume may not translate into realized pricing,dated_source_row_with_unit_scope_and_information_date,research_gap_contract,2026-08-09T22:52:46.471778+00:00
