dataset_id,scope_type,entity,parent_group,scenario,forecast_horizon,driver,assumption_value,unit,observed_anchor_value,anchor_period,assumption_status,assumption_rationale,validation_kpi,invalidation_trigger,source_path,source_quality,source_as_of_date,retrieved_at,ticker
airline_forecast_assumptions,sector,China mainland listed airlines,sector,bear,2026H2_pre_interim,demand_rpk_growth_pct,1.7907,% YoY,4.790667731806404,2026H1,analyst_stress_around_observed_anchor,RPK growth remains positive but sensitive to June softness,July operating release and 1H2026 interim traffic,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,base,2026H2_pre_interim,demand_rpk_growth_pct,4.7907,% YoY,4.790667731806404,2026H1,analyst_stress_around_observed_anchor,RPK growth remains positive but sensitive to June softness,July operating release and 1H2026 interim traffic,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,bull,2026H2_pre_interim,demand_rpk_growth_pct,7.7907,% YoY,4.790667731806404,2026H1,analyst_stress_around_observed_anchor,RPK growth remains positive but sensitive to June softness,July operating release and 1H2026 interim traffic,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,bear,2026H2_pre_interim,capacity_ask_growth_pct,5.5974,% YoY,2.5974454895359207,2026H1,analyst_stress_around_observed_anchor,Bear assumes extra capacity absorbs demand; bull assumes discipline,ASK/RPK gap and load factor,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,base,2026H2_pre_interim,capacity_ask_growth_pct,2.5974,% YoY,2.5974454895359207,2026H1,analyst_stress_around_observed_anchor,Bear assumes extra capacity absorbs demand; bull assumes discipline,ASK/RPK gap and load factor,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,bull,2026H2_pre_interim,capacity_ask_growth_pct,0.5974,% YoY,2.5974454895359207,2026H1,analyst_stress_around_observed_anchor,Bear assumes extra capacity absorbs demand; bull assumes discipline,ASK/RPK gap and load factor,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,bear,2026H2_pre_interim,fuel_price_overlay_pct,5.0,% shock,0.0,2026H1,analyst_stress_around_observed_anchor,Mechanical overlay around the current fuel regime; not a forward commodity forecast,Jet fuel spot and fuel-cost share,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,base,2026H2_pre_interim,fuel_price_overlay_pct,0.0,% shock,0.0,2026H1,analyst_stress_around_observed_anchor,Mechanical overlay around the current fuel regime; not a forward commodity forecast,Jet fuel spot and fuel-cost share,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,sector,China mainland listed airlines,sector,bull,2026H2_pre_interim,fuel_price_overlay_pct,-5.0,% shock,0.0,2026H1,analyst_stress_around_observed_anchor,Mechanical overlay around the current fuel regime; not a forward commodity forecast,Jet fuel spot and fuel-cost share,Observed H1/July demand-capacity direction is opposite to scenario,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv,derived_sector_aggregate,2026-08-06,2026-08-08T10:43:16.219469+00:00,
airline_forecast_assumptions,company,Spring Airlines,Spring Airlines,bear,2026H2_pre_interim,rpk_growth_pct,15.0099,% YoY,18.009927629670546,2026H1_preliminary_monthly_releases,analyst_stress_around_observed_anchor,Company demand growth is stressed around the preliminary H1 issuer-release trend,Monthly RPK/passengers and formal 1H2026 report,RPK growth falls below ASK growth for the H1/July validation window,/Users/henrywzh/Desktop/Quant/alternative-data/data/normalized/hk_transport/airline_sector_trend_snapshot.csv,issuer_monthly_operating_release,2026-08-07,2026-08-08T10:43:16.219469+00:00,601021.SH
